Source,Target,Weight
(02000) portal norte - unicervantes,(02001) centro comercial santa fe,454
(02000) portal norte - unicervantes,(02101) toberin - foundever,2175
(02000) portal norte - unicervantes,(02102) calle 161,592
(02000) portal norte - unicervantes,(02103) mazurén,1916
(02000) portal norte - unicervantes,(02105) calle 142,1619
(02000) portal norte - unicervantes,(02200) alcalá – colegio s. tomás dominicos,2288
(02000) portal norte - unicervantes,(02201) prado,1887
(02000) portal norte - unicervantes,(02202) calle 127 - l oreal paris,3476
(02000) portal norte - unicervantes,(02204) pepe sierra,2163
(02000) portal norte - unicervantes,(02205) calle 106 - explora maletas,2561
(02000) portal norte - unicervantes,(02300) calle 100 - marketmedios,9159
(02000) portal norte - unicervantes,(02302) virrey,2208
(02000) portal norte - unicervantes,(02303) calle 85 - gato dumas,2642
(02000) portal norte - unicervantes,(02304) heroes - gel hada,2874
(02000) portal norte - unicervantes,(02502) terminal,488
(02000) portal norte - unicervantes,(03000) portal suba,1024
(02000) portal norte - unicervantes,(03001) la campiña,81
(02000) portal norte - unicervantes,(03002) suba - tv- 91,348
(02000) portal norte - unicervantes,(03003) 21 angeles,50
(02000) portal norte - unicervantes,(03004) gratamira,13
(02000) portal norte - unicervantes,(03005) suba - av. boyaca,124
(02000) portal norte - unicervantes,(03006) niza - calle 127,246
(02000) portal norte - unicervantes,(03007) humedal cordoba,93
(02000) portal norte - unicervantes,(03009) av. suba- calle 116,410
(02000) portal norte - unicervantes,(03010) puente largo,190
(02000) portal norte - unicervantes,(03011) suba - calle 100,232
(02000) portal norte - unicervantes,(03012) suba - calle 95,233
(02000) portal norte - unicervantes,(03013) rio negro,178
(02000) portal norte - unicervantes,(03014) san martin,35
(02000) portal norte - unicervantes,(04000) cabecera calle 80,5380
(02000) portal norte - unicervantes,(04001) quirigua,257
(02000) portal norte - unicervantes,(04002) carrera 90,628
(02000) portal norte - unicervantes,(04003) avenida ciudad de cali,749
(02000) portal norte - unicervantes,(04004) la granja,478
(02000) portal norte - unicervantes,(04100) carrera 77,697
(02000) portal norte - unicervantes,(04101) minuto de dios,493
(02000) portal norte - unicervantes,(04102) avenida boyaca,772
(02000) portal norte - unicervantes,(04103) las ferias,217
(02000) portal norte - unicervantes,(04104) avenida 68,953
(02000) portal norte - unicervantes,(04105) carrera 53,685
(02000) portal norte - unicervantes,(04106) carrera 47,345
(02000) portal norte - unicervantes,(04107) escuela militar,69
(02000) portal norte - unicervantes,(04108) polo – fincomercio,439
(02000) portal norte - unicervantes,(05000) portal américas,5361
(02000) portal norte - unicervantes,(05002) tintal,1167
(02000) portal norte - unicervantes,(05005) transversal 86,450
(02000) portal norte - unicervantes,(05100) banderas p. central,2990
(02000) portal norte - unicervantes,(05101) mandalay - cr.73,96
(02000) portal norte - unicervantes,(05102) av. américas - av. boyacá,439
(02000) portal norte - unicervantes,(05103) marsella,837
(02000) portal norte - unicervantes,(05105) pradera – plaza central,921
(02000) portal norte - unicervantes,(05107) américas - cr.53,705
(02000) portal norte - unicervantes,(06000) portal el dorado - c.c. nuestro bogota,1020
(02000) portal norte - unicervantes,(06001) modelia,343
(02000) portal norte - unicervantes,(06002) normandía,241
(02000) portal norte - unicervantes,(06100) av. rojas – unisalesiana,468
(02000) portal norte - unicervantes,(06101) el tiempo - camara de comercio de bogota,818
(02000) portal norte - unicervantes,(06102) salitre el greco,579
(02000) portal norte - unicervantes,(06103) can - british council,652
(02000) portal norte - unicervantes,(06104) gobernación,369
(02000) portal norte - unicervantes,(06105) quinta paredes,271
(02000) portal norte - unicervantes,(06106) recinto ferial,1256
(02000) portal norte - unicervantes,(06107) ciudad universitaria - loteria de bogota,411
(02000) portal norte - unicervantes,(06108) concejo de bogotá,38
(02000) portal norte - unicervantes,(06109) centro memoria,136
(02000) portal norte - unicervantes,(06111) universidades – cityu,1426
(02000) portal norte - unicervantes,(07000) portal sur jfk coop. financiera,3914
(02000) portal norte - unicervantes,(07001) perdomo,620
(02000) portal norte - unicervantes,(07002) madelena,483
(02000) portal norte - unicervantes,(07003) sevillana,294
(02000) portal norte - unicervantes,(07004) venecia,546
(02000) portal norte - unicervantes,(07005) alqueria,524
(02000) portal norte - unicervantes,(07006) general santander,1108
(02000) portal norte - unicervantes,(07007) nqs - calle 38a sur,360
(02000) portal norte - unicervantes,(07008) nqs - calle 30 sur,335
(02000) portal norte - unicervantes,(07010) bosa,1018
(02000) portal norte - unicervantes,(07101) castellana,515
(02000) portal norte - unicervantes,(07102) calle 75 - zona m,583
(02000) portal norte - unicervantes,(07103) av. chile,1219
(02000) portal norte - unicervantes,(07104) 7 de agosto,1275
(02000) portal norte - unicervantes,(07105) movistar arena,984
(02000) portal norte - unicervantes,(07106) el campin,1213
(02000) portal norte - unicervantes,(07107) u. nacional,2466
(02000) portal norte - unicervantes,(07108) av. el dorado,850
(02000) portal norte - unicervantes,(07109) cad,1126
(02000) portal norte - unicervantes,(07110) paloquemao,1123
(02000) portal norte - unicervantes,(07111) nqs - ricaurte,945
(02000) portal norte - unicervantes,(07112) comuneros,1554
(02000) portal norte - unicervantes,(07113) santa isabel,677
(02000) portal norte - unicervantes,(07200) tygua-san josé,415
(02000) portal norte - unicervantes,(07201) guatoque -veraguas,133
(02000) portal norte - unicervantes,(07503) san mateo - c.c. unisur,2896
(02000) portal norte - unicervantes,(07504) terreros,1649
(02000) portal norte - unicervantes,(07505) leon xiii,729
(02000) portal norte - unicervantes,(07506) despensa,224
(02000) portal norte - unicervantes,(08000) portal tunal,2680
(02000) portal norte - unicervantes,(08001) parque el tunal,109
(02000) portal norte - unicervantes,(08002) biblioteca,165
(02000) portal norte - unicervantes,(09000) cabecera usme,2123
(02000) portal norte - unicervantes,(09001) molinos,785
(02000) portal norte - unicervantes,(09002) consuelo,68
(02000) portal norte - unicervantes,(09003) socorro,135
(02000) portal norte - unicervantes,(09004) santa lucía,528
(02000) portal norte - unicervantes,(09005) danubio,229
(02000) portal norte - unicervantes,(09100) calle 40 sur,535
(02000) portal norte - unicervantes,(09101) quiroga,185
(02000) portal norte - unicervantes,(09103) olaya,438
(02000) portal norte - unicervantes,(09104) restrepo,749
(02000) portal norte - unicervantes,(09105) río fucha,496
(02000) portal norte - unicervantes,(09106) nariño,338
(02000) portal norte - unicervantes,(09107) hortúa,490
(02000) portal norte - unicervantes,(09108) hospital,131
(02000) portal norte - unicervantes,(09110) avenida jimenez,3623
(02000) portal norte - unicervantes,(09113) calle 22,933
(02000) portal norte - unicervantes,(09115) calle 34 - fondo nacional de garantias,2659
(02000) portal norte - unicervantes,(09116) avenida 39,1678
(02000) portal norte - unicervantes,(09117) calle 45,2731
(02000) portal norte - unicervantes,(09119) calle 57,4817
(02000) portal norte - unicervantes,(09121) flores – areandina,4789
(02000) portal norte - unicervantes,(09123) calle 76 - san felipe,4280
(02000) portal norte - unicervantes,(10000) portal 20 de julio,1078
(02000) portal norte - unicervantes,(10001) country sur,360
(02000) portal norte - unicervantes,(10002) av. primero de mayo,629
(02000) portal norte - unicervantes,(10003) ciudad jardín,66
(02000) portal norte - unicervantes,(10004) policarpa,76
(02000) portal norte - unicervantes,(10005) bicentenario,186
(02000) portal norte - unicervantes,(10006) san victorino - neos centro,281
(02000) portal norte - unicervantes,(10007) las nieves,228
(02000) portal norte - unicervantes,(10008) san diego,80
(02000) portal norte - unicervantes,(10009) museo nacional - fng,179
(02000) portal norte - unicervantes,(10010) san bernardo,267
(02000) portal norte - unicervantes,(12000) puente aranda,187
(02000) portal norte - unicervantes,(12001) carrera 43 - comapan,271
(02000) portal norte - unicervantes,(12002) cds - carrera 32,374
(02000) portal norte - unicervantes,(12003) ricaurte,193
(02000) portal norte - unicervantes,(12004) carrera 22,273
(02000) portal norte - unicervantes,(12007) zona industrial,652
(02000) portal norte - unicervantes,(14001) la sabana,377
(02000) portal norte - unicervantes,(14004) museo del oro,2833
(02000) portal norte - unicervantes,(14005) las aguas - centro colombo americano,2211
(02000) portal norte - unicervantes,(50003) corral molinos,5
(02000) portal norte - unicervantes,(50008) corral portal dorado,138
(02000) portal norte - unicervantes,(57503) ampliacion san mateo,868
(02001) centro comercial santa fe,(02101) toberin - foundever,539
(02001) centro comercial santa fe,(02102) calle 161,136
(02001) centro comercial santa fe,(02103) mazurén,473
(02001) centro comercial santa fe,(02105) calle 142,321
(02001) centro comercial santa fe,(02200) alcalá – colegio s. tomás dominicos,551
(02001) centro comercial santa fe,(02201) prado,223
(02001) centro comercial santa fe,(02202) calle 127 - l oreal paris,672
(02001) centro comercial santa fe,(02204) pepe sierra,513
(02001) centro comercial santa fe,(02205) calle 106 - explora maletas,383
(02001) centro comercial santa fe,(02300) calle 100 - marketmedios,759
(02001) centro comercial santa fe,(02302) virrey,412
(02001) centro comercial santa fe,(02303) calle 85 - gato dumas,336
(02001) centro comercial santa fe,(02304) heroes - gel hada,366
(02001) centro comercial santa fe,(02502) terminal,60
(02001) centro comercial santa fe,(03000) portal suba,161
(02001) centro comercial santa fe,(03001) la campiña,26
(02001) centro comercial santa fe,(03002) suba - tv- 91,45
(02001) centro comercial santa fe,(03003) 21 angeles,12
(02001) centro comercial santa fe,(03004) gratamira,1
(02001) centro comercial santa fe,(03005) suba - av. boyaca,6
(02001) centro comercial santa fe,(03006) niza - calle 127,47
(02001) centro comercial santa fe,(03007) humedal cordoba,4
(02001) centro comercial santa fe,(03009) av. suba- calle 116,41
(02001) centro comercial santa fe,(03010) puente largo,36
(02001) centro comercial santa fe,(03011) suba - calle 100,30
(02001) centro comercial santa fe,(03012) suba - calle 95,22
(02001) centro comercial santa fe,(03013) rio negro,31
(02001) centro comercial santa fe,(03014) san martin,3
(02001) centro comercial santa fe,(04000) cabecera calle 80,436
(02001) centro comercial santa fe,(04001) quirigua,36
